А_Space	Данная переменная содержит один символ пробела. См. описание команды AutoTrim.
А_Tab	Данная переменная содержит один символ табуляции. См. описание команды AutoTrim.
Digit	Эти переменные автоматически создаются при загрузке скрипта с параметрами командной строки. Их можно изменять и на них можно ссылаться, как на обычные имена переменных (например: %1%). Переменная %0% содержит количество переданных параметров (0, если параметры переданы не были).
A_WorkingDir	Текущий рабочий каталог скрипта, в котором файлы доступны по умолчанию. Конечный обратный слеш нужен только в случае, если это корневой каталог. Два примера: C:\ и C:\Мои документы. Чтобы изменить рабочий каталог, используйте функцию SetWorkingDir.
A_ScriptDir	Полный путь к каталогу, где находится текущий скрипт. Для полной совместимости с AutoIt v2, конечный обратный слеш нужен только для .aut-скриптов. Пример для .aut-скриптов: C:\My Documents\
A_ScriptName	Имя файла текущего скрипта без указания пути. Например: MyScript.ahk.
A_ScriptFullPath	Комбинация двух переменных, приведенных выше. Определяет полную спецификацию файла скрипта, например: C:\My Documents\MyScript.ahk.
A_LineNumber	Число строк скрипта, выполняемых в данное время (или один из его #Include-файлов). Данное количество строк совпадает с количеством, которое показывает ListLines. Переменная может быть полезна для сообщений об ошибках. Например: MsgBox Нельзя записать в log-файл (количество строк %A_LineNumber%).
A_LineFile [v1.0.31+]	Полный путь и имя файла, к которому принадлежит переменная A_LineNumber. Переменная A_LineNumber будет равна переменной A_ScriptFullPath, если данная строка не принадлежит одному из нескомпилированных #Include-файлов скрипта.
A_AhkVersion	Переменная содержит номер той версии AutoHotkey, которая исполняет скрипт (например: 1.0.22). Если скрипт скомпилирован, указывается версия, использовавшаяся для компиляции. Формат, в котором указывается номер версии, позволяет скрипту при помощи операторов > или >= проверять, больше ли переменная A_AhkVersion минимально допустимого номера версии. Например: if A_AhkVersion >= 1.0.25.07.
A_IsCompiled	Содержит 1, если скрипт исполняется как скомпилированный EXE-файл, и ничего в обратном случае (в версиях от 1.0.27 и далее).
A_ExitReason	Последняя причина, по который скрипт должен завершиться. У переменной есть значение, если скрипт имеет OnExit процедуру и эта процедура в данный момент исполняется или была вызвана попыткой завершить исполнение. Иначе, значения нет.
A_YYYY	Текущий год (4 цифры). Например: 2004. Данная переменная является синонимом переменной A_Year. Примечание: Чтобы извлечь время или дату в формате, характерном для вашего языка и местной специфики, используйте команду "FormatTime, OutputVar" (время и полная дата) или "FormatTime, OutputVar,, LongDate" (возвращает дату в полном формате).
A_MM	Текущий месяц (2 цифры) от 01 до 12. Синоним A_Mon.
A_DD	Текущий день месяца (2 цифры) от 01 до 31. Синоним A_MDay.
A_MMMM	Полное название текущего месяца на языке пользователя. Например: Июль.
A_MMM	Аббревиатура текущего месяца на языке пользователя. Например: Июл.
A_DDDD	Полное название текущего дня недели на языке пользователя. Например: Воскресенье.
A_DDD	Аббревиатура из трех букв текущего дня недели на языке пользователя. Например: Вск.
A_WDay	Текущий день недели (1 цифра) от 1 до 7. 1 - воскресенье для любого региона.
A_YDay	Текущий день года от 1 до 366. Значение возвращается без лидирующих нолей, т.е. 9, а не 009. Чтобы извлечь значение с лидирующими нолями, используйте команду: FormatTime, OutputVar, , YDay0.
A_YWeek [v1.0.24+]	Текущий год и номер текущей недели согласно стандарту ISO 8601 (напр.: 200453). Чтобы отделить год от недели, используйте команды StringLeft, Year, A_YWeek, 4 и StringRight, Week, A_YWeek, 2. Точное определение переменной A_YWeek: если более четырех дней недели, в которую входит 1 января, приходится на новый год, эта неделя считается равной 1. Иначе, это последняя неделя старого года, а первой считается следующая неделя.
A_Hour	Текущий час (2 цифры) от 00 до 23. Например: 17 - это 5 часов вечера. Чтобы извлечь время в формате от 1 до 12 с указателями AM/PM, сделайте так, как показано в примере: FormatTime, OutputVar, , h:mm:ss tt.
A_Min	Текущая минута (2 цифры) от 00 до 59.
A_Sec	Текущая секунда (2 цифры) от 00 до 59.
A_MSec	Текущая миллисекунда (3 цифры) от 000 до 999. [в версиях от 1.0.29 и выше]. Чтобы убрать лидирующие нули: Milliseconds := A_MSec + 0.
A_Now	Текущее местное время в формате YYYYMMDDHH24MISS. Примечание: математические операции над датами и временем могут быть выполнены с помощью команд EnvAdd и EnvSub. Кроме того, функция FormatTime может отформатировать дату и/или время в соответствии с форматом, принятом в вашем регионе или с вашими предпочтениями.
A_NowUTC	Текущее универсальное глобальное время (UTC) в формате YYYYMMDDHH24MISS. Универсальное глобальное время в сущности то же самое, что и среднее время по Гринвичу (GMT).
A_TickCount	Количество миллисекунд, прошедшее со времени перезагрузки компьютера. Сохранив значение A_TickCount в переменной, можно позднее измерить общее время работы. Для этого необходимо вычесть значение этой переменной из последнего значения A_TickCount.
A_IsSuspended	Если работа скрипта временно приостановлена, значение 1, иначе 0. [в версиях от 1.0.27 и выше].
A_BatchLines	(синоним переменой A_NumBatchLines) Текущее значение, устанавливаемое командой SetBatchLines. Примеры: 200 или 10ms (в зависимости от формата).
